Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1018.0
Rm(MPa)	303
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	3.181
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
351.651	8.770	0.0000	11.704	286.601	0.000	286.601	0.000
352.65	8.773	0.0000	11.737	286.712	0.000	286.712	0.000
353.649	8.777	0.0000	11.770	286.833	0.000	286.833	0.000
354.649	8.781	0.0000	11.803	286.964	0.000	286.964	0.000
355.646	8.785	0.0000	11.837	287.091	0.000	287.091	0.000
356.645	8.789	0.0000	11.870	287.216	0.000	287.216	0.000
357.645	8.792	0.0000	11.903	287.320	0.000	287.320	0.000
358.645	8.796	0.0000	11.937	287.461	0.000	287.461	0.000
359.644	8.800	0.0000	11.970	287.582	0.000	287.582	0.000
360.643	8.804	0.0000	12.003	287.703	0.000	287.703	0.000
361.641	8.807	0.0000	12.037	287.814	0.000	287.814	0.000
362.639	8.811	0.0000	12.070	287.931	0.000	287.931	0.000
